pickup_day,trips,total_revenue,avg_total_amount,avg_fare_amount,avg_trip_distance
2023-02-12,93576,2587235.3400000036,27.64849256219547,19.129964627682327,3.7024934812345274
2023-02-13,92180,2553824.0000000615,27.704751573009997,18.710341939683236,3.455890648730748
2023-02-14,107459,2895278.5399999553,26.943099600777554,18.157143096436663,3.0464667454564305
2023-02-15,109784,3118350.470000039,28.404416581651596,19.123148364060317,3.395735261968944
2023-02-16,111892,3109323.530000016,27.788613395059667,18.705355789511298,3.2444198870339274
2023-02-17,110754,3065772.9799999585,27.680923307509964,18.575221933293726,3.2537810823988393
2023-02-18,104247,2738813.3900000104,26.272347309754817,18.225302886413996,3.2043821884562926
2023-02-19,89130,2487224.6700000153,27.905583641871594,19.446260069561358,3.66468529114772
2023-02-20,78847,2344955.9500000514,29.740585564448253,20.75351693786699,4.158781437467499
2023-02-21,99001,2764133.2900000485,27.92025626003827,18.837320128079714,3.397593155624681
2023-02-22,109979,3025317.6899999906,27.508139644841204,18.535704361741743,3.1878444975859113
2023-02-23,114261,3183839.7100000703,27.86462318726486,18.81138901287429,3.281595645058265
2023-02-24,114489,3132534.360000084,27.361007258339963,18.404255430652913,3.222486352400672
2023-02-25,112514,2916766.6600000155,25.9235887089608,17.93145315249663,3.1417340064347616
2023-02-26,90271,2602616.5700000105,28.831148098503512,20.084215861129152,3.8915661729680666
2023-02-27,92113,2619118.280000043,28.433752890471954,19.258134465276502,3.565072031092227
2023-02-28,100289,2726196.220000073,27.18340216773597,18.24351165132758,3.3166075043124907
2023-03-01,114335,3184302.0999999647,27.850632789609172,18.787496392181158,3.2648670136004005
2023-03-02,117994,3306477.260000036,28.022418597556115,18.889690323236824,3.286707374951247
2023-03-03,115426,3144442.6500000805,27.242065479182163,18.279848907525313,3.2010182281288353
2023-03-04,112250,2901800.690000007,25.851231091314094,17.856121781737354,3.1146396436525463
2023-03-05,96085,2754865.5899999896,28.67113066555643,19.948028412343195,3.8055040849248036
2023-03-06,92679,2682455.4000000576,28.943508238112816,19.610704474584505,3.5958997183828387
2023-03-07,112905,3056367.509999991,27.0702582702271,18.109564323989087,3.093695939063817
2023-03-08,116487,3261555.9899999853,27.999313142238922,18.844376625717878,3.182611278511759
2023-03-09,120642,3393992.1299999477,28.132757497388535,19.00432768024419,3.2448814674823403
2023-03-10,120697,3375096.249999926,27.963381442785867,18.822352668252122,3.243091294729761
2023-03-11,110323,2862312.760000072,25.944841601479943,17.889950508960204,3.165467853484777
2023-03-12,94192,2720345.4100000085,28.88085410650595,20.081942096993394,3.887525904535421
2023-03-13,99548,2860333.600000068,28.733210109696508,19.43927030176382,3.5066181138746964
2023-03-14,106788,2913560.770000016,27.283597127018165,18.356530509046067,3.215120987376872
2023-03-15,119024,3429475.199999953,28.81330824035449,19.575633569700376,3.316938096518352
2023-03-16,123023,3603810.0099999364,29.293790673288218,19.955433049104688,3.3846307601017567
2023-03-17,111467,3285423.149999899,29.47440184090268,20.164747503745687,3.46870158881103
2023-03-18,120509,3201582.159999976,26.567162286633994,18.448265274793044,3.2568457957496673
2023-03-19,99531,2969664.489999974,29.83657845294405,20.826012699561083,3.956516663150218
2023-03-20,90650,2753740.7800000017,30.377725096525115,20.722120353006062,3.9273755102040844
2023-03-21,100976,2883000.0500000613,28.551339427191227,19.367447116146494,3.4481463912216923
2023-03-22,105148,3004914.2199999797,28.577949366606877,19.330458021075007,3.3833175143607512
2023-03-23,113183,3290809.40999991,29.075120910383273,19.722864476114125,3.4634572329766478
2023-03-24,109980,3129887.8799999817,28.458700490998197,19.2025681032914,3.471186215675569
2023-03-25,114605,2976795.7600000203,25.974396928580955,17.93007931591124,3.178689062431854
2023-03-26,93243,2790507.719999995,29.92726231459729,20.913074654397644,4.041800135130775
2023-03-27,95548,2793457.1700000656,29.236165801482663,19.776064491145977,3.7096187256666524
2023-03-28,103453,2935849.800000012,28.378585444598144,19.237786821068674,3.4119757764395313
2023-03-29,110331,3155650.369999932,28.601665624347937,19.36899692742732,3.4068631662904987
2023-03-30,118297,3427371.420000003,28.97259795261083,19.72578552287916,3.419911240352722
2023-03-31,114197,3286054.930000054,28.775317477692532,19.497359737996685,3.499571880171991
2023-04-01,115877,3064602.209999959,26.44702753781992,18.3146052279573,3.2815681282738938
